Rank,Name,Team,sWAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
26,강민호,25,2.5,110,2.27,0.23,407,404,360,33,100,21,0,11,154,65,2,2,33,7,4,56,12,0,7,0.278,0.344,0.428,0.772,0.129,101.2,2.5
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,장성우,25,2.41,116,2.4,0.01,431,429,372,41,96,13,0,13,148,54,0,1,51,0,1,85,12,1,7,0.258,0.342,0.398,0.74,0.127,104.1,2.41
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,김영웅,25,2.24,108,1.51,0.73,425,423,382,54,97,21,1,17,171,58,6,2,39,1,3,121,4,0,3,0.254,0.322,0.448,0.77,0.128,100.3,2.24
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,오지환,25,2.22,110,2.03,0.19,403,397,352,48,84,18,1,14,146,49,9,5,36,3,0,102,4,6,6,0.239,0.31,0.415,0.725,0.115,98.1,2.22
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,고승민,25,2.21,108,1.79,0.42,481,477,422,64,118,18,2,4,152,41,4,1,48,3,1,75,6,4,4,0.28,0.354,0.36,0.714,0.121,97.8,2.21
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,권희동,25,2.06,117,2.18,-0.12,403,399,318,50,75,21,0,6,114,35,5,3,69,10,0,77,10,4,2,0.236,0.386,0.358,0.744,0.149,121.7,2.06
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,문현빈,25,2.02,124,2.69,-0.67,518,511,461,58,147,27,1,12,212,68,16,5,34,8,2,75,9,5,10,0.319,0.368,0.46,0.828,0.149,122.3,2.02
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,김휘집,25,1.86,122,1.72,0.13,432,431,376,53,86,13,1,15,146,42,9,0,32,23,0,83,5,1,0,0.229,0.327,0.388,0.715,0.119,97.2,1.86
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,채은성,25,1.65,115,2.2,-0.55,453,446,415,51,124,26,1,19,209,80,1,2,25,10,4,78,4,3,0,0.299,0.353,0.504,0.857,0.155,127,1.65
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,한유섬,25,1.51,112,1.58,-0.07,451,447,401,44,109,21,0,13,169,59,1,0,43,5,3,102,6,1,1,0.272,0.349,0.421,0.77,0.134,108.9,1.51
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,류지혁,25,1.42,113,1.01,0.41,416,402,356,49,99,13,0,1,115,35,11,4,31,11,0,63,10,14,4,0.278,0.351,0.323,0.674,0.107,84,1.42
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,허경민,25,1.4,100,1.33,0.07,419,417,368,40,104,17,0,3,130,33,4,1,33,13,1,31,14,2,3,0.283,0.36,0.353,0.713,0.12,98,1.4
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,최지훈,25,1.31,124,1.06,0.24,512,507,460,56,122,12,3,4,152,32,28,6,40,4,2,79,1,3,5,0.265,0.326,0.33,0.656,0.096,77.9,1.31
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,전준우,25,1.27,104,1.73,-0.46,432,429,375,47,108,26,1,7,157,64,2,1,40,8,1,63,9,3,6,0.288,0.364,0.419,0.783,0.14,113.7,1.27
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,정준재,25,1.08,116,0.84,0.24,392,378,333,49,78,7,3,0,91,22,33,7,42,2,0,85,4,14,1,0.234,0.323,0.273,0.596,0.086,69.9,1.08
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,고명준,25,0.51,112,-0.19,0.7,432,432,403,38,110,19,1,14,173,55,1,0,20,2,1,82,12,0,7,0.273,0.306,0.429,0.735,0.11,89.8,0.51
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,최주환,25,0.45,113,0.93,-0.48,479,477,435,44,118,31,1,12,187,68,0,0,33,5,2,63,7,0,6,0.271,0.326,0.43,0.756,0.122,110.7,0.45
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,오선우,25,0.26,104,1.07,-0.81,403,403,371,53,101,16,1,16,167,50,0,1,30,2,2,130,9,0,0,0.272,0.33,0.45,0.78,0.132,112.3,0.26
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
